/media/sunyu/OS1/suanli/collectionunzip/SET3_01
obj                 |bestobj             |time                |
1662823.978         |1662823.978         |29.778              |init
447171.812          |447171.812          |79.793              |KS2
261075.054          |261075.054          |129.806             |KS2
240846.085          |240846.085          |179.825             |lns
237720.691          |237720.691          |229.837             |lns
232817.027          |232817.027          |279.848             |lns
224810.429          |224810.429          |379.872             |lns
214007.165          |214007.165          |429.882             |lns
204512.174          |204512.174          |479.893             |lns
198750.332          |198750.332          |529.903             |lns
198062.111          |198062.111          |579.913             |lns
197904.036          |197904.036          |630.656             |lns
197493.326          |197493.326          |680.664             |lns
197426.156          |197426.156          |730.674             |lns
197426.156          |197426.156          |781.355             |random
195788.027          |195788.027          |953.448             |lns2
195788.027          |195788.027          |1000.121            |random
total time : 1000.1210443973541
