/media/sunyu/OS1/suanli/collectionunzip/anonymous_76
obj                 |bestobj             |time                |
3918109.242         |3918109.242         |10.090              |KS1
1620339.316         |1620339.316         |60.257              |KS2
532536.618          |532536.618          |110.409             |KS2
331398.015          |331398.015          |160.551             |KS2
309456.621          |309456.621          |218.366             |lns
309412.947          |309412.947          |268.506             |lns
306174.101          |306174.101          |368.779             |lns
303172.451          |303172.451          |418.905             |lns
291167.448          |291167.448          |469.030             |lns
291130.603          |291130.603          |519.154             |lns
290225.435          |290225.435          |569.278             |lns
276238.109          |276238.109          |619.402             |lns
275935.843          |275935.843          |669.527             |lns
275879.725          |275879.725          |719.650             |lns
256441.498          |256441.498          |819.954             |lns
256356.597          |256356.597          |870.065             |lns
256344.656          |256344.656          |920.175             |lns
256344.646          |256344.646          |970.285             |lns
total time : 997.2705044746399
