/media/sunyu/OS1/suanli/collectionunzip/b2c1s1
obj                 |bestobj             |time                |
62719.520           |62719.520           |3.627               |KS1
30164.430           |30164.430           |53.632              |KS2
26952.120           |26952.120           |103.637             |KS2
26527.340           |26527.340           |131.469             |lns
26471.340           |26471.340           |181.473             |lns
26453.390           |26453.390           |210.005             |lns
26355.190           |26355.190           |260.009             |lns
26281.890           |26281.890           |310.013             |lns
26281.890           |26281.890           |372.190             |random
26281.887           |26281.887           |568.647             |random
25935.540           |25935.540           |618.650             |lns
25710.540           |25710.540           |669.088             |lns
25710.540           |25710.540           |847.539             |random
25710.540           |25710.540           |948.205             |random
25710.540           |25710.540           |999.161             |random
total time : 1000.1438763141632
