/media/sunyu/OS1/suanli/collectionunzip/bg512142
obj                 |bestobj             |time                |
125246605.000       |125246605.000       |0.014               |KS1
66124007.333        |66124007.333        |35.521              |KS2
1359499.000         |1359499.000         |85.524              |KS2
982955.000          |982955.000          |135.531             |lns
981762.000          |981762.000          |185.534             |lns
981620.000          |981620.000          |235.537             |lns
801437.500          |801437.500          |335.547             |lns
670431.500          |670431.500          |385.550             |lns
669456.500          |669456.500          |435.554             |lns
572241.000          |572241.000          |535.560             |lns
550374.000          |550374.000          |585.565             |lns
191137.000          |191137.000          |635.569             |lns
190880.750          |190880.750          |685.573             |lns
190880.735          |190880.735          |875.749             |lns2
190058.235          |190058.235          |975.920             |lns
total time : 1000.2353777885437
