/media/sunyu/OS1/suanli/collectionunzip/bmocbd3
obj                 |bestobj             |time                |
14191567726.663     |14191567726.663     |50.984              |init
-267737035.102      |-267737035.102      |102.174             |KS2
-268949110.922      |-268949110.922      |153.219             |KS2
-277429571.256      |-277429571.256      |204.737             |lns
-298044005.198      |-298044005.198      |255.658             |lns
-302892299.975      |-302892299.975      |306.574             |lns
-306917809.039      |-306917809.039      |408.432             |lns
-309523369.666      |-309523369.666      |459.243             |lns
-310070757.593      |-310070757.593      |510.057             |lns
-310305352.275      |-310305352.275      |560.870             |lns
-310305352.525      |-310305352.525      |611.689             |lns
-310500848.053      |-310500848.053      |662.512             |lns
total time : 875.0500226020813
