/media/sunyu/OS1/suanli/collectionunzip/cmflsp50-24-8-8
obj                 |bestobj             |time                |
56671575.901        |56671575.901        |50.008              |init
56439948.446        |56439948.446        |100.024             |KS2
56384425.532        |56384425.532        |114.530             |KS2
56384326.265        |56384326.265        |115.999             |lns
56236710.346        |56236710.346        |125.090             |lns
56236710.346        |56236710.346        |136.164             |random
56207282.206        |56207282.206        |269.993             |lns2
56170326.410        |56170326.410        |321.700             |lns
56050402.668        |56050402.668        |371.712             |lns
56010820.983        |56010820.983        |421.720             |lns
56009289.637        |56009289.637        |522.943             |lns2
56003330.169        |56003330.169        |530.443             |lns
56001715.488        |56001715.488        |538.324             |lns
total time : 997.9647145271301
