/media/sunyu/OS1/suanli/collectionunzip/core4872-1529
obj                 |bestobj             |time                |
1873.000            |1873.000            |0.984               |KS1
1628.000            |1628.000            |51.195              |KS2
1563.000            |1563.000            |101.393             |KS2
1552.000            |1552.000            |151.659             |lns
1550.000            |1550.000            |216.313             |lns
1545.000            |1545.000            |266.453             |lns
1544.000            |1544.000            |316.594             |lns
1543.000            |1543.000            |459.172             |lns2
1542.000            |1542.000            |704.497             |lns
1541.000            |1541.000            |754.638             |lns
1540.000            |1540.000            |961.126             |lns
1539.000            |1539.000            |962.701             |lns
total time : 996.730301618576
