/media/sunyu/OS1/suanli/collectionunzip/dc1c
obj                 |bestobj             |time                |
31876364.560        |31876364.560        |50.042              |init
21889698.290        |21889698.290        |100.110             |KS2
11855135.630        |11855135.630        |150.175             |KS2
1876530.460         |1876530.460         |200.248             |KS2
1831553.090         |1831553.090         |300.409             |lns
1821271.070         |1821271.070         |350.508             |lns
1821181.090         |1821181.090         |400.560             |lns
1821006.970         |1821006.970         |450.748             |lns
1818514.800         |1818514.800         |500.795             |lns
1808948.870         |1808948.870         |550.842             |lns
1799039.830         |1799039.830         |600.890             |lns
1798547.820         |1798547.820         |650.936             |lns
1797986.840         |1797986.840         |700.995             |lns
1797887.770         |1797887.770         |751.046             |lns
1797655.795         |1797655.795         |867.789             |lns2
1797214.114         |1797214.114         |917.992             |lns
1797073.454         |1797073.454         |968.035             |lns
1796535.898         |1796535.898         |998.716             |lns
total time : 998.7160413265228
