/media/sunyu/OS1/suanli/collectionunzip/eva1aprime5x5opt
obj                 |bestobj             |time                |
6.000               |6.000               |50.003              |init
-3.242              |-3.242              |100.007             |KS2
-4.450              |-4.450              |261.164             |lns2
-5.925              |-5.925              |317.542             |lns
-6.574              |-6.574              |367.546             |lns
-6.850              |-6.850              |417.550             |lns
-8.346              |-8.346              |467.554             |lns
-9.403              |-9.403              |522.922             |lns
-9.448              |-9.448              |574.951             |lns2
-9.652              |-9.652              |625.353             |lns
-10.042             |-10.042             |818.176             |lns2
-11.051             |-11.051             |971.908             |lns
total time : 1000.2011902332306
