/media/sunyu/OS1/suanli/collectionunzip/fastxgemm-n3r23s5t6
obj                 |bestobj             |time                |
42084.000           |42084.000           |50.008              |init
32084.000           |32084.000           |100.018             |KS2
30084.000           |30084.000           |150.028             |KS2
21090.000           |21090.000           |250.049             |lns
9111.000            |9111.000            |350.067             |lns
9110.998            |9110.998            |400.241             |lns
9110.998            |9110.998            |452.163             |random
9110.997            |9110.997            |453.438             |lns
9110.991            |9110.991            |453.602             |lns
9110.989            |9110.989            |554.114             |lns2
9110.989            |9110.989            |554.283             |random
9101.998            |9101.998            |558.850             |lns2
6096.000            |6096.000            |972.545             |lns2
total time : 994.1216793060303
