/media/sunyu/OS1/suanli/collectionunzip/fhnw-schedule-paira100
obj                 |bestobj             |time                |
-0.962              |-0.962              |0.193               |init
-2.572              |-2.572              |0.611               |KS2
-3.304              |-3.304              |10.982              |KS2
-3.592              |-3.592              |61.036              |lns
-3.863              |-3.863              |73.368              |lns2
-4.121              |-4.121              |145.921             |lns2
-4.405              |-4.405              |218.059             |lns2
-4.445              |-4.445              |865.730             |lns2
-4.886              |-4.886              |918.288             |lns
-5.715              |-5.715              |997.760             |lns2
total time : 1000.1457576751709
