/media/sunyu/OS1/suanli/collectionunzip/hgms-det
obj                 |bestobj             |time                |
-47259.615          |-47259.615          |0.740               |KS1
-47310.289          |-47310.289          |50.746              |KS2
-47311.125          |-47311.125          |100.752             |KS2
-47311.127          |-47311.127          |102.117             |lns2
-47311.993          |-47311.993          |152.245             |lns
-47312.807          |-47312.807          |202.251             |lns
-47313.232          |-47313.232          |278.022             |lns2
-47313.659          |-47313.659          |328.071             |lns
-47314.086          |-47314.086          |429.518             |lns2
total time : 999.7539412975311
