/media/sunyu/OS1/suanli/collectionunzip/item_placement_9973
obj                 |bestobj             |time                |
15.015              |15.015              |50.005              |init
11.964              |11.964              |100.058             |KS2
11.240              |11.240              |150.116             |KS2
11.205              |11.205              |200.217             |lns
10.914              |10.914              |250.261             |lns
10.313              |10.313              |300.289             |lns
9.753               |9.753               |400.346             |lns
9.238               |9.238               |450.354             |lns
9.222               |9.222               |500.361             |lns
9.222               |9.222               |603.221             |random
9.218               |9.218               |734.608             |lns2
total time : 999.9505264759064
