/media/sunyu/OS1/suanli/collectionunzip/lotsize
obj                 |bestobj             |time                |
3023168.000         |3023168.000         |1.188               |KS1
1505184.000         |1505184.000         |51.208              |KS2
1488460.000         |1488460.000         |101.222             |KS2
1486598.000         |1486598.000         |140.243             |lns
1486383.000         |1486383.000         |190.254             |lns
1485180.000         |1485180.000         |240.266             |lns
1485179.977         |1485179.977         |429.342             |random
1484885.000         |1484885.000         |629.380             |lns
1484884.997         |1484884.997         |830.762             |lns2
1484884.977         |1484884.977         |880.854             |lns
total time : 999.9902539253235
