/media/sunyu/OS1/suanli/collectionunzip/moj-mining
obj                 |bestobj             |time                |
-15563571.588       |-15563571.588       |50.041              |init
-915869463.026      |-915869463.026      |100.093             |KS2
-948411982.268      |-948411982.268      |150.145             |KS2
-948603260.348      |-948603260.348      |200.207             |KS2
-953906557.057      |-953906557.057      |250.264             |crossover
-953906558.528      |-953906558.528      |504.311             |lns2
-953906558.568      |-953906558.568      |505.234             |random
-953906558.667      |-953906558.667      |588.146             |random
-953906558.956      |-953906558.956      |921.632             |lns2
-953906558.966      |-953906558.966      |922.410             |random
total time : 977.4765558242798
