/media/sunyu/OS1/suanli/collectionunzip/n3700
obj                 |bestobj             |time                |
1528967.000         |1528967.000         |0.101               |KS1
1477916.000         |1477916.000         |50.149              |KS2
1318212.000         |1318212.000         |100.190             |KS2
1315835.000         |1315835.000         |150.245             |lns
1315536.000         |1315536.000         |200.279             |lns
1315383.000         |1315383.000         |300.346             |lns
1315234.000         |1315234.000         |350.376             |lns
1314453.000         |1314453.000         |400.406             |lns
1312538.000         |1312538.000         |450.437             |lns
1311960.000         |1311960.000         |500.482             |lns
1307876.000         |1307876.000         |600.552             |lns
1304507.000         |1304507.000         |650.579             |lns
total time : 999.6339037418365
