/media/sunyu/OS1/suanli/collectionunzip/n370b
obj                 |bestobj             |time                |
1739736.000         |1739736.000         |0.102               |KS1
1378979.000         |1378979.000         |50.148              |KS2
1310852.000         |1310852.000         |100.186             |KS2
1310547.000         |1310547.000         |150.241             |lns
1309503.000         |1309503.000         |200.273             |lns
1302314.000         |1302314.000         |250.306             |lns
1301652.000         |1301652.000         |350.374             |lns
1300618.000         |1300618.000         |400.404             |lns
1300618.000         |1300618.000         |601.460             |random
1298520.000         |1298520.000         |955.623             |lns2
1295812.000         |1295812.000         |999.446             |random
total time : 999.4459245204926
