/media/sunyu/OS1/suanli/collectionunzip/neos-1420790
obj                 |bestobj             |time                |
3446.010            |3446.010            |0.434               |KS1
3180.746            |3180.746            |50.440              |KS2
3138.106            |3138.106            |100.447             |KS2
3129.446            |3129.446            |150.456             |lns
3123.983            |3123.983            |250.466             |lns
3123.683            |3123.683            |300.472             |lns
3123.417            |3123.417            |450.517             |lns2
3123.091            |3123.091            |500.603             |lns
3122.459            |3122.459            |550.609             |lns
3121.367            |3121.367            |750.673             |random
3120.106            |3120.106            |800.679             |lns
total time : 999.940039396286
