/media/sunyu/OS1/suanli/collectionunzip/neos-3615091-sutlej
obj                 |bestobj             |time                |
0.000               |0.000               |12.644              |KS1
-276933.400         |-276933.400         |64.086              |KS2
-708731.800         |-708731.800         |115.400             |KS2
-715879.400         |-715879.400         |167.359             |lns
-970125.600         |-970125.600         |269.570             |lns
-983122.200         |-983122.200         |320.702             |lns
-992086.600         |-992086.600         |371.758             |lns
-1010722.200        |-1010722.200        |422.862             |lns
-1012263.600        |-1012263.600        |525.229             |lns
total time : 1877.3802027702332
