/media/sunyu/OS1/suanli/collectionunzip/neos-4264598-oueme
obj                 |bestobj             |time                |
950619431.200       |950619431.200       |51.922              |KS1
104668560.000       |104668560.000       |102.041             |KS2
95628629.800        |95628629.800        |152.148             |KS2
11245333.008        |11245333.008        |176.285             |KS2
7285460.264         |7285460.264         |276.971             |lns
7272380.600         |7272380.600         |327.054             |lns
6198437.295         |6198437.295         |377.138             |lns
6069841.963         |6069841.963         |464.417             |lns
5974542.948         |5974542.948         |521.140             |lns
total time : 1006.5437290668488
