/media/sunyu/OS1/suanli/collectionunzip/neos-4954672-berkel
obj                 |bestobj             |time                |
11182960.000        |11182960.000        |0.004               |init
3760500.992         |3760500.992         |50.011              |KS2
2629250.000         |2629250.000         |100.018             |KS2
2624913.999         |2624913.999         |150.029             |lns
2624913.988         |2624913.988         |200.035             |lns
2624913.711         |2624913.711         |250.042             |lns
2624913.423         |2624913.423         |300.346             |lns
2612827.440         |2612827.440         |350.351             |lns
2612823.660         |2612823.660         |414.609             |lns
2612821.103         |2612821.103         |464.627             |lns
2612820.966         |2612820.966         |515.802             |lns
2612820.945         |2612820.945         |566.290             |lns
total time : 1000.0200071334839
