/media/sunyu/OS1/suanli/collectionunzip/neos-5151569-mologa
obj                 |bestobj             |time                |
852037440.505       |852037440.505       |11.983              |init
760665477.867       |760665477.867       |62.188              |KS2
688413791.981       |688413791.981       |112.367             |KS2
688187507.400       |688187507.400       |162.626             |lns
688086146.123       |688086146.123       |212.784             |lns
688049994.854       |688049994.854       |262.941             |lns
688048014.936       |688048014.936       |313.094             |lns
688046986.621       |688046986.621       |363.246             |lns
687846169.531       |687846169.531       |416.527             |lns
687781133.510       |687781133.510       |466.669             |lns
687760116.380       |687760116.380       |493.808             |lns
687734058.659       |687734058.659       |503.947             |lns
687705667.985       |687705667.985       |554.069             |lns
687688789.218       |687688789.218       |604.200             |lns
687649218.157       |687649218.157       |654.334             |lns
687637112.590       |687637112.590       |704.473             |lns
687456576.279       |687456576.279       |863.969             |lns2
total time : 984.3443660736084
