/media/sunyu/OS1/suanli/collectionunzip/neos-5196530-nuhaka
obj                 |bestobj             |time                |
0.015               |0.015               |6.710               |KS1
0.011               |0.011               |56.791              |KS2
0.010               |0.010               |106.864             |KS2
0.010               |0.010               |147.244             |random
0.010               |0.010               |283.216             |random
0.010               |0.010               |392.210             |random
0.010               |0.010               |457.458             |random
0.010               |0.010               |612.156             |random
0.010               |0.010               |794.100             |random
0.010               |0.010               |1001.056            |random
total time : 1001.0568976402283
