/media/sunyu/OS1/suanli/collectionunzip/neos-5260764-orauea
obj                 |bestobj             |time                |
116903.081          |116903.081          |258.175             |KS1
84905.252           |84905.252           |308.310             |KS2
83880.854           |83880.854           |358.408             |KS2
83880.852           |83880.852           |408.544             |lns
83880.850           |83880.850           |515.235             |lns2
83880.847           |83880.847           |565.444             |lns
83339.839           |83339.839           |644.176             |random
83339.839           |83339.839           |825.592             |random
83339.837           |83339.837           |875.659             |lns
total time : 999.1258571147919
