/media/sunyu/OS1/suanli/collectionunzip/ns1679495
obj                 |bestobj             |time                |
12729657.851        |12729657.851        |66.937              |KS1
11527060.082        |11527060.082        |117.096             |KS2
10333659.575        |10333659.575        |167.205             |KS2
8799330.458         |8799330.458         |217.353             |lns
8381627.584         |8381627.584         |267.489             |lns
7674491.315         |7674491.315         |317.589             |lns
7476973.131         |7476973.131         |367.689             |lns
7372698.238         |7372698.238         |417.788             |lns
7321510.462         |7321510.462         |467.885             |lns
7285793.060         |7285793.060         |517.980             |lns
7279661.953         |7279661.953         |568.075             |lns
7274051.981         |7274051.981         |618.180             |lns
7271858.662         |7271858.662         |668.257             |lns
7269790.975         |7269790.975         |718.339             |lns
7268542.342         |7268542.342         |768.418             |lns
7267795.754         |7267795.754         |818.513             |lns
7266087.066         |7266087.066         |868.612             |lns
7265256.224         |7265256.224         |918.693             |lns
7264533.715         |7264533.715         |961.324             |lns
total time : 961.3244853019714
