/media/sunyu/OS1/suanli/collectionunzip/opm2-z12-s8
obj                 |bestobj             |time                |
-10358.000          |-10358.000          |0.168               |init
-13085.000          |-13085.000          |0.387               |KS2
-33730.000          |-33730.000          |0.696               |KS2
-37413.000          |-37413.000          |0.992               |KS2
-41077.000          |-41077.000          |1.553               |lns
-41352.000          |-41352.000          |2.008               |lns
-42888.000          |-42888.000          |2.720               |lns
-42965.000          |-42965.000          |3.547               |lns
-44691.000          |-44691.000          |5.190               |lns
-44796.000          |-44796.000          |6.760               |lns
-46294.000          |-46294.000          |9.440               |lns
-46296.000          |-46296.000          |11.568              |lns
-46430.000          |-46430.000          |182.561             |lns2
-46777.000          |-46777.000          |183.354             |lns
-46787.000          |-46787.000          |183.558             |lns
-47265.000          |-47265.000          |184.006             |lns
-47557.000          |-47557.000          |185.099             |lns
-47570.000          |-47570.000          |186.112             |lns
-47604.000          |-47604.000          |187.246             |lns
-48995.000          |-48995.000          |189.657             |lns
-49018.000          |-49018.000          |193.659             |lns
-49024.000          |-49024.000          |196.673             |lns
-50222.000          |-50222.000          |208.073             |lns
-50299.000          |-50299.000          |212.563             |lns
-50314.000          |-50314.000          |218.501             |lns
-50345.000          |-50345.000          |422.472             |lns2
-50409.000          |-50409.000          |423.283             |lns
-50454.000          |-50454.000          |736.620             |lns2
total time : 1045.9153189659119
