/media/sunyu/OS1/suanli/collectionunzip/reblock354
obj                 |bestobj             |time                |
-7304792.622        |-7304792.622        |0.448               |init
-8256177.750        |-8256177.750        |0.533               |KS2
-15616871.527       |-15616871.527       |1.092               |KS2
-15912076.960       |-15912076.960       |1.280               |KS2
-19340826.540       |-19340826.540       |1.380               |lns
-19904236.804       |-19904236.804       |1.415               |lns
-25164616.947       |-25164616.947       |1.534               |lns
-28051376.580       |-28051376.580       |1.619               |lns
-31237796.821       |-31237796.821       |1.711               |lns
-35750049.286       |-35750049.286       |51.732              |lns
-36390662.021       |-36390662.021       |101.792             |lns
-38131045.417       |-38131045.417       |151.811             |lns
-38132061.548       |-38132061.548       |201.830             |lns
-38539478.888       |-38539478.888       |251.883             |lns
-39063064.764       |-39063064.764       |301.902             |lns
-39213970.145       |-39213970.145       |305.672             |lns
-39214258.156       |-39214258.156       |306.928             |lns
-39247891.907       |-39247891.907       |356.946             |lns
-39253290.467       |-39253290.467       |418.536             |lns2
-39254809.106       |-39254809.106       |488.643             |lns2
total time : 999.0370614528656
