/media/sunyu/OS1/suanli/collectionunzip/rmine13
obj                 |bestobj             |time                |
-268.695            |-268.695            |0.283               |init
-714.896            |-714.896            |7.856               |KS2
-943.962            |-943.962            |9.536               |KS2
-1130.704           |-1130.704           |13.492              |lns
-1231.529           |-1231.529           |16.868              |lns
-1363.331           |-1363.331           |19.318              |lns
-1431.735           |-1431.735           |19.628              |lns
-1663.814           |-1663.814           |20.571              |lns
-1770.384           |-1770.384           |20.892              |lns
-1967.583           |-1967.583           |27.988              |lns
-1991.805           |-1991.805           |35.204              |lns
-2504.339           |-2504.339           |75.277              |lns
-2540.513           |-2540.513           |117.914             |lns
-2813.639           |-2813.639           |168.041             |lns
-2840.621           |-2840.621           |190.039             |lns
-2872.593           |-2872.593           |212.833             |lns
-3402.750           |-3402.750           |262.954             |lns
-3485.088           |-3485.088           |313.089             |lns
-3485.470           |-3485.470           |363.223             |lns
-3485.893           |-3485.893           |413.364             |lns
-3485.923           |-3485.923           |463.502             |lns
-3489.340           |-3489.340           |515.187             |lns
-3489.426           |-3489.426           |565.310             |lns
total time : 1075.0047993659973
