/media/sunyu/OS1/suanli/collectionunzip/set3-10
obj                 |bestobj             |time                |
1753540.837         |1753540.837         |6.602               |init
576315.235          |576315.235          |56.616              |KS2
224896.367          |224896.367          |106.629             |KS2
221785.164          |221785.164          |156.646             |lns
218398.858          |218398.858          |256.668             |lns
208580.837          |208580.837          |306.679             |lns
207116.438          |207116.438          |489.618             |lns2
206379.658          |206379.658          |548.204             |lns
204080.963          |204080.963          |712.466             |lns2
203513.019          |203513.019          |766.019             |lns2
total time : 999.8193202018738
