/media/sunyu/OS1/suanli/collectionunzip/sing5
obj                 |bestobj             |time                |
35459518.354        |35459518.354        |8.746               |KS1
18884835.597        |18884835.597        |60.110              |KS2
18860081.881        |18860081.881        |107.792             |KS2
18816485.032        |18816485.032        |116.147             |lns
18814725.136        |18814725.136        |471.043             |lns2
18805325.721        |18805325.721        |511.055             |lns
18805325.707        |18805325.707        |570.656             |lns
18801316.387        |18801316.387        |621.491             |lns
18799667.144        |18799667.144        |672.326             |lns
18799316.165        |18799316.165        |723.153             |lns
total time : 1026.573673248291
