/media/sunyu/OS1/suanli/collectionunzip/stockholm
obj                 |bestobj             |time                |
151.000             |151.000             |8.110               |KS1
150.000             |150.000             |58.127              |KS2
145.000             |145.000             |108.141             |KS2
142.000             |142.000             |208.169             |lns
140.000             |140.000             |308.191             |lns
138.000             |138.000             |405.932             |lns
136.000             |136.000             |505.961             |lns
135.000             |135.000             |628.000             |random
134.000             |134.000             |678.011             |lns
132.000             |132.000             |778.033             |lns
total time : 998.2155179977417
