/media/sunyu/OS1/suanli/collectionunzip/SET3_24
obj                 |bestobj             |time                |
2154563.754         |2154563.754         |10.074              |init
634373.153          |634373.153          |60.088              |KS2
289405.080          |289405.080          |110.101             |KS2
278947.426          |278947.426          |210.129             |lns
272202.566          |272202.566          |260.139             |lns
272181.700          |272181.700          |310.150             |lns
272127.849          |272127.849          |360.161             |lns
268110.377          |268110.377          |410.172             |lns
267448.710          |267448.710          |464.089             |lns
266821.883          |266821.883          |514.099             |lns
265163.387          |265163.387          |564.109             |lns
264927.983          |264927.983          |614.787             |lns
264875.194          |264875.194          |664.797             |lns
264865.249          |264865.249          |714.806             |lns
264862.350          |264862.350          |765.106             |lns
264862.350          |264862.350          |817.688             |random
263636.423          |263636.423          |907.012             |lns2
263187.104          |263187.104          |957.515             |lns
262464.411          |262464.411          |999.743             |lns
total time : 999.7431082725525
