/media/sunyu/OS1/suanli/collectionunzip/anonymous_74
obj                 |bestobj             |time                |
187487.602          |187487.602          |0.570               |init
57303.401           |57303.401           |50.601              |KS2
56495.488           |56495.488           |100.631             |KS2
56495.478           |56495.478           |111.787             |KS2
56495.478           |56495.478           |111.823             |crossover
56495.478           |56495.478           |162.201             |random
56483.839           |56483.839           |163.817             |random
53500.078           |53500.078           |213.840             |lns
53500.078           |53500.078           |264.073             |random
50774.797           |50774.797           |264.386             |lns
49836.089           |49836.089           |314.413             |lns
49836.080           |49836.080           |466.326             |lns2
48954.899           |48954.899           |516.391             |lns
48954.896           |48954.896           |668.674             |lns
total time : 999.6630985736847
