/media/sunyu/OS1/suanli/collectionunzip/bg512142
obj                 |bestobj             |time                |
36535768.000        |36535768.000        |0.299               |INIT
1366919.500         |1366919.500         |50.303              |KS2
194733.000          |194733.000          |100.309             |KS2
190052.499          |190052.499          |150.316             |lns
186562.749          |186562.749          |200.320             |lns
185765.243          |185765.243          |300.327             |lns
185721.492          |185721.492          |400.336             |lns
185667.625          |185667.625          |551.000             |lns2
185667.624          |185667.624          |655.083             |lns
185667.620          |185667.620          |672.120             |lns
185667.616          |185667.616          |724.163             |lns
185638.994          |185638.994          |934.082             |lns
total time : 1000.2145409584045
