/media/sunyu/OS1/suanli/collectionunzip/dws012-02
obj                 |bestobj             |time                |
140713.585          |140713.585          |100.688             |KS1
137427.024          |137427.024          |150.964             |KS2
135818.638          |135818.638          |201.206             |KS2
134925.567          |134925.567          |251.551             |lns
134787.863          |134787.863          |301.758             |lns
133668.132          |133668.132          |402.165             |lns
133633.844          |133633.844          |452.352             |lns
133633.842          |133633.842          |552.761             |lns
133624.428          |133624.428          |726.371             |lns2
133353.406          |133353.406          |877.910             |lns
133219.173          |133219.173          |928.092             |lns
133200.151          |133200.151          |978.273             |lns
132958.211          |132958.211          |991.871             |lns
total time : 991.8721776008606
