/media/sunyu/OS1/suanli/collectionunzip/hgms-det
obj                 |bestobj             |time                |
-47246.823          |-47246.823          |1.458               |INIT
-47309.172          |-47309.172          |1.999               |KS2
-47311.341          |-47311.341          |52.004              |KS2
-47312.329          |-47312.329          |70.096              |lns
-47312.356          |-47312.356          |120.102             |lns
-47312.807          |-47312.807          |181.666             |lns
-47312.807          |-47312.807          |192.341             |random
-47313.232          |-47313.232          |347.985             |lns
-47313.232          |-47313.232          |398.116             |random
-47313.659          |-47313.659          |399.132             |lns2
-47314.086          |-47314.086          |449.163             |lns
-47314.086          |-47314.086          |893.254             |lns2
total time : 1000.038937330246
