/media/sunyu/OS1/suanli/collectionunzip/hgms62
obj                 |bestobj             |time                |
-44775.715          |-44775.715          |65.059              |INIT
-44784.426          |-44784.426          |116.543             |KS2
-44800.504          |-44800.504          |166.561             |KS2
-44811.403          |-44811.403          |190.814             |lns2
-44811.479          |-44811.479          |294.494             |lns2
-44816.209          |-44816.209          |315.737             |lns
-44822.774          |-44822.774          |541.009             |random
-44823.220          |-44823.220          |673.523             |random
-44823.311          |-44823.311          |914.135             |random
-44827.888          |-44827.888          |964.159             |lns
total time : 1000.9176263809204
