/media/sunyu/OS1/suanli/collectionunzip/item_placement_9920
obj                 |bestobj             |time                |
24.569              |24.569              |50.017              |INIT
22.623              |22.623              |100.088             |KS2
21.493              |21.493              |150.143             |KS2
21.130              |21.130              |200.202             |lns
21.129              |21.129              |300.217             |lns
21.126              |21.126              |350.224             |lns
21.110              |21.110              |370.746             |lns
21.110              |21.110              |371.641             |random
21.107              |21.107              |381.956             |lns
21.102              |21.102              |486.632             |lns2
total time : 1000.0543930530548
