/media/sunyu/OS1/suanli/collectionunzip/lotsize
obj                 |bestobj             |time                |
1523352.000         |1523352.000         |48.265              |INIT
1491211.000         |1491211.000         |98.282              |KS2
1487710.000         |1487710.000         |148.294             |KS2
1487512.000         |1487512.000         |198.311             |lns
1487233.000         |1487233.000         |248.321             |lns
1482291.000         |1482291.000         |298.332             |lns
1482290.994         |1482290.994         |472.530             |random
1482290.726         |1482290.726         |572.549             |lns
1482290.376         |1482290.376         |659.290             |lns
1481366.414         |1481366.414         |799.541             |lns2
1481366.328         |1481366.328         |914.160             |lns
total time : 1000.2670753002167
