/media/sunyu/OS1/suanli/collectionunzip/n3709
obj                 |bestobj             |time                |
1280035.000         |1280035.000         |50.089              |INIT
1276423.000         |1276423.000         |100.131             |KS2
1276194.000         |1276194.000         |150.174             |KS2
1270453.000         |1270453.000         |200.229             |lns
1270087.000         |1270087.000         |300.294             |lns
1270087.000         |1270087.000         |501.345             |random
1266202.000         |1266202.000         |551.378             |lns
1265838.000         |1265838.000         |601.412             |lns
1264505.000         |1264505.000         |651.446             |lns
1264408.000         |1264408.000         |802.796             |lns2
1264389.000         |1264389.000         |902.864             |lns
total time : 1001.2203288078308
