/media/sunyu/OS1/suanli/collectionunzip/n370b
obj                 |bestobj             |time                |
1288892.000         |1288892.000         |50.084              |INIT
1286521.000         |1286521.000         |100.131             |KS2
1277107.000         |1277107.000         |150.169             |KS2
1276070.000         |1276070.000         |200.225             |lns
1275989.000         |1275989.000         |300.290             |lns
1274391.000         |1274391.000         |804.865             |random
1274330.000         |1274330.000         |904.928             |lns
1271604.000         |1271604.000         |954.957             |lns
1267306.000         |1267306.000         |1000.021            |lns
total time : 1000.0213975906372
