/media/sunyu/OS1/suanli/collectionunzip/neos-1067731
obj                 |bestobj             |time                |
110831516.999       |110831516.999       |0.141               |KS1
33123015.000        |33123015.000        |0.317               |KS2
3029076.000         |3029076.000         |1.488               |KS2
2026397.000         |2026397.000         |1.886               |lns
2026394.000         |2026394.000         |2.739               |lns2
1026417.000         |1026417.000         |2.805               |random
1026411.000         |1026411.000         |3.492               |lns2
1026409.000         |1026409.000         |5.291               |lns2
1026367.486         |1026367.486         |61.859              |lns2
1026287.000         |1026287.000         |62.123              |random
1026285.000         |1026285.000         |62.650              |lns2
1026061.000         |1026061.000         |62.808              |lns
1026059.611         |1026059.611         |109.509             |lns2
1025911.000         |1025911.000         |109.656             |random
1025910.000         |1025910.000         |110.242             |lns2
1025903.000         |1025903.000         |110.447             |lns
1025902.000         |1025902.000         |111.865             |random
1025899.471         |1025899.471         |169.047             |lns2
1025120.849         |1025120.849         |219.217             |lns
1025116.767         |1025116.767         |269.250             |lns
1025116.726         |1025116.726         |319.283             |lns
1025107.000         |1025107.000         |499.893             |random
1025106.757         |1025106.757         |549.928             |lns
1025106.617         |1025106.617         |599.961             |lns
1025105.000         |1025105.000         |656.188             |random
1025103.870         |1025103.870         |669.372             |lns2
1025103.783         |1025103.783         |719.553             |lns
1025103.029         |1025103.029         |769.585             |lns
1025103.000         |1025103.000         |822.453             |lns2
1025102.795         |1025102.795         |881.989             |lns2
1025102.000         |1025102.000         |944.056             |lns2
1025102.000         |1025102.000         |982.782             |lns2
total time : 998.1849508285522
