/media/sunyu/OS1/suanli/collectionunzip/neos-2987202-jeir
obj                 |bestobj             |time                |
-28058082.999       |-28058082.999       |0.493               |init
-104412643.238      |-104412643.238      |1.648               |KS2
-320541295.813      |-320541295.813      |3.131               |KS2
-329758117.928      |-329758117.928      |4.659               |lns
-998131440.561      |-998131440.561      |29.427              |lns
-998527337.385      |-998527337.385      |33.969              |lns
-998674640.670      |-998674640.670      |43.011              |lns
-1163324560.338     |-1163324560.338     |47.266              |lns
-1167065215.989     |-1167065215.989     |97.327              |lns
-1171945578.662     |-1171945578.662     |147.394             |lns
-1172376982.232     |-1172376982.232     |198.235             |lns
-1173810068.991     |-1173810068.991     |248.295             |lns
-1173964619.323     |-1173964619.323     |298.902             |lns
-1180766785.058     |-1180766785.058     |353.812             |lns2
-1347515336.064     |-1347515336.064     |360.876             |lns
-1348626750.537     |-1348626750.537     |365.822             |lns
-1378409050.734     |-1378409050.734     |370.153             |lns
-1387023236.364     |-1387023236.364     |376.891             |lns
-1418968913.824     |-1418968913.824     |426.957             |lns
-1418968919.502     |-1418968919.502     |477.022             |lns
-1477552276.685     |-1477552276.685     |528.451             |lns
-1478156624.292     |-1478156624.292     |578.515             |lns
-1480053301.544     |-1480053301.544     |628.574             |lns
-1491766583.181     |-1491766583.181     |678.686             |lns
-1493995225.109     |-1493995225.109     |728.814             |lns
-1496969347.783     |-1496969347.783     |778.954             |lns
-1499301007.353     |-1499301007.353     |829.027             |lns
-1500374520.263     |-1500374520.263     |879.114             |lns
-1502274745.993     |-1502274745.993     |929.262             |lns
total time : 947.6880221366882
