/media/sunyu/OS1/suanli/collectionunzip/neos-5151569-mologa
obj                 |bestobj             |time                |
687913095.873       |687913095.873       |20.331              |INIT
687450610.544       |687450610.544       |70.532              |KS2
687331452.343       |687331452.343       |120.711             |KS2
687328512.343       |687328512.343       |121.584             |lns
687325258.873       |687325258.873       |126.716             |lns
687321789.064       |687321789.064       |176.865             |lns
687320728.674       |687320728.674       |227.015             |lns
687305079.537       |687305079.537       |277.160             |lns
687305079.052       |687305079.052       |327.309             |lns
687301511.601       |687301511.601       |396.088             |lns2
687257287.350       |687257287.350       |495.943             |lns
687249377.396       |687249377.396       |504.286             |lns
687238276.473       |687238276.473       |512.650             |lns
687225438.050       |687225438.050       |522.127             |lns
687214524.995       |687214524.995       |544.883             |lns
687167860.912       |687167860.912       |595.014             |lns
687155008.057       |687155008.057       |626.859             |lns
687147396.731       |687147396.731       |635.384             |lns
687145590.920       |687145590.920       |645.106             |lns
687123851.043       |687123851.043       |666.703             |lns2
total time : 1009.5262525081635
