/media/sunyu/OS1/suanli/collectionunzip/ns1679495
obj                 |bestobj             |time                |
8034630.950         |8034630.950         |60.946              |INIT
6479798.128         |6479798.128         |111.099             |KS2
5472444.436         |5472444.436         |161.210             |KS2
5361866.542         |5361866.542         |211.344             |lns
4313113.195         |4313113.195         |261.428             |lns
4238101.952         |4238101.952         |361.617             |lns
4226653.243         |4226653.243         |411.739             |lns
4225474.809         |4225474.809         |461.820             |lns
4224671.911         |4224671.911         |511.920             |lns
4224402.635         |4224402.635         |562.019             |lns
4223820.124         |4223820.124         |612.098             |lns
4222852.837         |4222852.837         |662.198             |lns
4222593.766         |4222593.766         |712.274             |lns
4222557.169         |4222557.169         |762.351             |lns
4222544.886         |4222544.886         |812.440             |lns
4222009.566         |4222009.566         |862.520             |lns
4221998.036         |4221998.036         |912.597             |lns
4221977.423         |4221977.423         |962.671             |lns
4221977.203         |4221977.203         |1000.062            |lns
total time : 1000.0626962184906
