/media/sunyu/OS1/suanli/collectionunzip/opm2-z12-s8
obj                 |bestobj             |time                |
-9057.000           |-9057.000           |23.783              |INIT
-9368.000           |-9368.000           |24.001              |KS2
-39568.000          |-39568.000          |24.337              |KS2
-43019.000          |-43019.000          |24.708              |KS2
-45379.000          |-45379.000          |25.209              |lns
-45581.000          |-45581.000          |25.626              |lns
-47107.000          |-47107.000          |25.952              |lns
-47243.000          |-47243.000          |26.446              |lns
-47793.000          |-47793.000          |27.941              |lns
-47804.000          |-47804.000          |254.081             |lns2
-47920.000          |-47920.000          |254.681             |lns
-47930.000          |-47930.000          |519.927             |lns2
-47976.000          |-47976.000          |520.118             |random
-48169.000          |-48169.000          |520.318             |lns
-48182.000          |-48182.000          |520.721             |lns
-48331.000          |-48331.000          |521.027             |lns
-48337.000          |-48337.000          |521.507             |lns
-49631.000          |-49631.000          |522.853             |lns
total time : 1291.3620827198029
