/media/sunyu/OS1/suanli/collectionunzip/reblock354
obj                 |bestobj             |time                |
-28889147.574       |-28889147.574       |20.856              |INIT
-35062836.783       |-35062836.783       |70.886              |KS2
-38090049.776       |-38090049.776       |120.914             |KS2
-38543697.839       |-38543697.839       |121.181             |lns
-38970464.561       |-38970464.561       |121.224             |lns
-39048403.453       |-39048403.453       |123.239             |random
-39050641.677       |-39050641.677       |196.241             |lns2
-39092622.257       |-39092622.257       |246.309             |lns
-39251458.927       |-39251458.927       |310.302             |random
-39251547.228       |-39251547.228       |316.961             |lns2
-39251560.811       |-39251560.811       |773.316             |lns2
-39251703.296       |-39251703.296       |823.415             |lns
-39258448.293       |-39258448.293       |907.881             |lns2
-39262015.030       |-39262015.030       |910.226             |lns2
-39265542.105       |-39265542.105       |912.838             |lns2
-39265858.517       |-39265858.517       |915.245             |lns2
-39265938.317       |-39265938.317       |915.347             |lns
-39266192.182       |-39266192.182       |944.957             |lns2
total time : 1000.0545542240143
