/media/sunyu/OS1/suanli/collectionunzip/rmine13
obj                 |bestobj             |time                |
-3037.209           |-3037.209           |62.513              |INIT
-3152.360           |-3152.360           |112.718             |KS2
-3266.852           |-3266.852           |162.905             |KS2
-3315.271           |-3315.271           |164.444             |lns
-3342.119           |-3342.119           |165.939             |lns
-3481.245           |-3481.245           |212.493             |lns
-3481.408           |-3481.408           |216.317             |lns
-3481.623           |-3481.623           |225.600             |lns
-3486.277           |-3486.277           |235.555             |lns
-3486.311           |-3486.311           |624.956             |random
-3486.384           |-3486.384           |630.468             |lns
-3490.346           |-3490.346           |634.542             |lns
total time : 1125.1643431186676
