/media/sunyu/OS1/suanli/collectionunzip/rocII-5-11
obj                 |bestobj             |time                |
-4.670              |-4.670              |7.859               |KS1
-4.670              |-4.670              |8.155               |KS2
-4.678              |-4.678              |9.189               |KS2
-4.680              |-4.680              |9.840               |lns
-4.680              |-4.680              |16.185              |random
-4.681              |-4.681              |66.250              |lns
-6.674              |-6.674              |78.082              |lns
-6.674              |-6.674              |130.609             |random
-6.674              |-6.674              |134.371             |random
-6.674              |-6.674              |198.584             |random
-6.674              |-6.674              |259.428             |random
-6.674              |-6.674              |344.643             |random
total time : 1001.033448934555
