/media/sunyu/OS1/suanli/collectionunzip/set3-16
obj                 |bestobj             |time                |
1589201.821         |1589201.821         |16.511              |init
209148.821          |209148.821          |66.526              |KS2
162812.293          |162812.293          |116.539             |KS2
156339.093          |156339.093          |216.567             |lns
150426.091          |150426.091          |266.576             |lns
147972.539          |147972.539          |316.587             |lns
146841.166          |146841.166          |366.597             |lns
146450.346          |146450.346          |429.014             |lns2
145747.257          |145747.257          |511.202             |lns
145595.475          |145595.475          |561.211             |lns
144786.921          |144786.921          |611.220             |lns
total time : 999.9248373508453
