/media/sunyu/OS1/suanli/collectionunzip/SET3_14
obj                 |bestobj             |time                |
2758272.360         |2758272.360         |0.042               |INIT
244326.697          |244326.697          |50.056              |KS2
234268.626          |234268.626          |100.069             |KS2
224262.947          |224262.947          |150.088             |lns
216495.993          |216495.993          |200.099             |lns
216432.491          |216432.491          |258.684             |lns
214660.485          |214660.485          |308.694             |lns
214381.157          |214381.157          |358.705             |lns
214352.885          |214352.885          |421.295             |lns2
209761.025          |209761.025          |622.111             |lns2
209678.483          |209678.483          |708.129             |lns
209639.039          |209639.039          |758.138             |lns
total time : 1000.0078120231628
