/media/sunyu/OS1/suanli/collectionunzip/anonymous_76
obj                 |bestobj             |time                |
447396.865          |447396.865          |51.991              |INIT
370641.593          |370641.593          |102.163             |KS2
318270.344          |318270.344          |152.316             |KS2
287933.841          |287933.841          |202.541             |lns
278121.263          |278121.263          |252.675             |lns
277664.946          |277664.946          |302.813             |lns
277664.940          |277664.940          |352.948             |lns
276845.364          |276845.364          |403.083             |lns
276705.879          |276705.879          |453.217             |lns
252993.428          |252993.428          |553.510             |lns
249775.768          |249775.768          |603.633             |lns
246598.002          |246598.002          |653.770             |lns
246577.311          |246577.311          |703.896             |lns
246462.776          |246462.776          |754.022             |lns
246439.258          |246439.258          |804.151             |lns
241820.379          |241820.379          |854.276             |lns
241451.992          |241451.992          |904.400             |lns
241236.363          |241236.363          |954.528             |lns
241214.261          |241214.261          |1000.090            |lns
total time : 1000.0908393859863
