/media/sunyu/OS1/suanli/collectionunzip/b2c1s1
obj                 |bestobj             |time                |
62719.520           |62719.520           |3.666               |KS1
29137.950           |29137.950           |53.671              |KS2
27695.350           |27695.350           |103.677             |KS2
27599.350           |27599.350           |118.104             |lns
27569.350           |27569.350           |139.649             |lns
27543.850           |27543.850           |259.337             |lns2
25892.370           |25892.370           |310.210             |lns
25851.170           |25851.170           |360.872             |lns
25789.630           |25789.630           |410.876             |lns
25789.630           |25789.630           |465.379             |random
25789.630           |25789.630           |636.791             |random
25789.629           |25789.629           |827.885             |random
25789.629           |25789.629           |878.761             |random
25789.628           |25789.628           |1000.108            |random
total time : 1000.1083118915558
