/media/sunyu/OS1/suanli/collectionunzip/bab3
obj                 |bestobj             |time                |
-645267.602         |-645267.602         |123.835             |KS1
-650289.479         |-650289.479         |177.749             |KS2
-651987.849         |-651987.849         |231.195             |KS2
-651995.440         |-651995.440         |241.715             |lns
-652302.507         |-652302.507         |294.746             |lns
-653664.047         |-653664.047         |400.697             |lns
-653826.902         |-653826.902         |453.551             |lns
-654031.958         |-654031.958         |506.395             |lns
-654273.025         |-654273.025         |612.480             |lns
-654617.719         |-654617.719         |664.841             |lns
-654941.537         |-654941.537         |717.576             |lns
total time : 1264.7701652050018
