/media/sunyu/OS1/suanli/collectionunzip/bmocbd3
obj                 |bestobj             |time                |
27624325265.735     |27624325265.735     |57.327              |INIT
-1357273.079        |-1357273.079        |108.499             |KS2
-1357292.079        |-1357292.079        |159.572             |KS2
-260945622.462      |-260945622.462      |211.095             |lns
-261301424.776      |-261301424.776      |262.007             |lns
-269573558.911      |-269573558.911      |312.919             |lns
-275659538.284      |-275659538.284      |363.830             |lns
-276372898.692      |-276372898.692      |414.742             |lns
-283058772.457      |-283058772.457      |465.655             |lns
-313336776.347      |-313336776.347      |516.571             |lns
-314586742.867      |-314586742.867      |567.485             |lns
-316505719.638      |-316505719.638      |618.401             |lns
-323896306.445      |-323896306.445      |720.545             |lns
-325428078.485      |-325428078.485      |771.360             |lns
-325428094.034      |-325428094.034      |822.169             |lns
-333070905.749      |-333070905.749      |924.035             |lns
-335090410.370      |-335090410.370      |974.761             |lns
total time : 1104.1707932949066
