/media/sunyu/OS1/suanli/collectionunzip/cmflsp50-24-8-8
obj                 |bestobj             |time                |
56907573.112        |56907573.112        |50.227              |INIT
56747376.077        |56747376.077        |100.242             |KS2
56726346.411        |56726346.411        |104.392             |KS2
56705108.710        |56705108.710        |122.859             |lns2
56556094.449        |56556094.449        |173.070             |lns
56513662.476        |56513662.476        |223.081             |lns
56513662.456        |56513662.456        |273.090             |lns
56321079.607        |56321079.607        |466.730             |lns2
56306146.997        |56306146.997        |643.772             |lns2
56251313.494        |56251313.494        |745.742             |lns
56198737.325        |56198737.325        |798.889             |lns2
56170326.410        |56170326.410        |849.456             |lns
total time : 1000.118736743927
