/media/sunyu/OS1/suanli/collectionunzip/dc1c
obj                 |bestobj             |time                |
1879498.950         |1879498.950         |50.394              |INIT
1814638.350         |1814638.350         |100.464             |KS2
1813581.400         |1813581.400         |150.540             |KS2
1812825.510         |1812825.510         |200.628             |lns
1811688.450         |1811688.450         |250.681             |lns
1811070.340         |1811070.340         |414.665             |lns2
1799969.410         |1799969.410         |464.863             |lns
1799847.570         |1799847.570         |514.911             |lns
1799803.618         |1799803.618         |564.973             |lns
1799795.639         |1799795.639         |615.021             |lns
1799762.577         |1799762.577         |715.135             |lns
1799761.724         |1799761.724         |765.179             |lns
1799761.715         |1799761.715         |815.222             |lns
1799379.140         |1799379.140         |916.761             |lns
1798357.290         |1798357.290         |966.838             |lns
1798280.209         |1798280.209         |1000.041            |lns
total time : 1000.0414171218872
