/media/sunyu/OS1/suanli/collectionunzip/dws012-02
obj                 |bestobj             |time                |
140713.585          |140713.585          |100.418             |KS1
139843.864          |139843.864          |150.686             |KS2
135875.223          |135875.223          |200.926             |KS2
134899.215          |134899.215          |251.269             |lns
134866.578          |134866.578          |301.476             |lns
134807.452          |134807.452          |401.882             |lns
134807.451          |134807.451          |452.066             |lns
134795.344          |134795.344          |502.250             |lns
133752.539          |133752.539          |602.673             |lns
133712.963          |133712.963          |652.847             |lns
133697.608          |133697.608          |834.556             |lns2
133409.539          |133409.539          |942.189             |lns
133377.536          |133377.536          |993.308             |lns
total time : 1004.8289568424225
