/media/sunyu/OS1/suanli/collectionunzip/eva1aprime5x5opt
obj                 |bestobj             |time                |
2.400               |2.400               |50.265              |INIT
1.339               |1.339               |100.272             |KS2
1.190               |1.190               |150.277             |KS2
-1.007              |-1.007              |200.281             |KS2
-2.655              |-2.655              |227.739             |crossover
-2.857              |-2.857              |227.996             |lns
-4.482              |-4.482              |278.259             |lns
-4.836              |-4.836              |286.049             |lns
-6.273              |-6.273              |342.864             |lns
-6.288              |-6.288              |496.532             |lns2
-6.314              |-6.314              |600.335             |lns
-6.359              |-6.359              |659.058             |random
-6.418              |-6.418              |761.694             |lns2
-6.732              |-6.732              |919.782             |lns
-6.887              |-6.887              |973.012             |lns2
total time : 1000.5799534320831
