/media/sunyu/OS1/suanli/collectionunzip/item_placement_9926
obj                 |bestobj             |time                |
13.351              |13.351              |50.016              |INIT
12.412              |12.412              |100.068             |KS2
12.162              |12.162              |150.143             |KS2
12.027              |12.027              |200.252             |lns
11.962              |11.962              |250.355             |lns
11.866              |11.866              |300.409             |lns
11.851              |11.851              |400.506             |lns
11.821              |11.821              |500.598             |lns
11.675              |11.675              |550.664             |lns
11.671              |11.671              |610.893             |lns2
total time : 1000.0442039966583
