/media/sunyu/OS1/suanli/collectionunzip/milo-v13-4-3d-3-0
obj                 |bestobj             |time                |
377427.234          |377427.234          |69.188              |KS1
359508.648          |359508.648          |119.192             |KS2
339908.648          |339908.648          |169.197             |KS2
335849.355          |335849.355          |189.136             |lns
331790.062          |331790.062          |239.140             |lns
327730.769          |327730.769          |289.143             |lns
321990.062          |321990.062          |347.736             |lns2
289475.257          |289475.257          |361.031             |lns
273934.550          |273934.550          |387.747             |lns
total time : 1000.1085104942322
