/media/sunyu/OS1/suanli/collectionunzip/n3705
obj                 |bestobj             |time                |
1297896.000         |1297896.000         |50.085              |INIT
1291635.000         |1291635.000         |100.127             |KS2
1283201.000         |1283201.000         |150.172             |KS2
1282806.000         |1282806.000         |200.226             |lns
1280386.000         |1280386.000         |250.259             |lns
1278294.000         |1278294.000         |300.291             |lns
1275820.000         |1275820.000         |400.357             |lns
1275460.000         |1275460.000         |450.395             |lns
1270448.000         |1270448.000         |500.425             |lns
1269621.000         |1269621.000         |600.491             |lns
1269103.000         |1269103.000         |650.523             |lns
1264388.000         |1264388.000         |700.554             |lns
1263890.000         |1263890.000         |750.583             |lns
1263671.000         |1263671.000         |800.611             |lns
1263578.000         |1263578.000         |850.639             |lns
total time : 1000.1685521602631
