/media/sunyu/OS1/suanli/collectionunzip/neos-1067731
obj                 |bestobj             |time                |
1026777.760         |1026777.760         |50.325              |INIT
1026763.875         |1026763.875         |53.977              |random
1025343.000         |1025343.000         |54.521              |lns
1025342.000         |1025342.000         |55.255              |lns2
1025341.000         |1025341.000         |55.339              |random
1025324.000         |1025324.000         |59.528              |lns2
1025319.997         |1025319.997         |90.089              |lns2
1025314.000         |1025314.000         |90.541              |random
1025312.000         |1025312.000         |91.490              |lns2
1025310.000         |1025310.000         |91.655              |lns
1025298.345         |1025298.345         |153.906             |lns2
1025295.610         |1025295.610         |214.374             |lns2
1025291.000         |1025291.000         |215.724             |lns
1025289.000         |1025289.000         |229.848             |lns2
1025288.000         |1025288.000         |233.812             |lns2
1025287.118         |1025287.118         |252.658             |lns2
1025273.829         |1025273.829         |533.342             |lns
1025101.824         |1025101.824         |583.375             |lns
1025101.560         |1025101.560         |633.409             |lns
total time : 1000.389899969101
