/media/sunyu/OS1/suanli/collectionunzip/neos-2987202-jeir
obj                 |bestobj             |time                |
-179627224.604      |-179627224.604      |92.081              |INIT
-208867324.039      |-208867324.039      |142.176             |KS2
-228501547.894      |-228501547.894      |192.258             |KS2
-259430473.609      |-259430473.609      |242.336             |KS2
-262222786.531      |-262222786.531      |242.700             |crossover
-418559897.458      |-418559897.458      |292.812             |lns
-456334799.929      |-456334799.929      |342.880             |lns
-483199302.018      |-483199302.018      |392.949             |lns
-496151925.278      |-496151925.278      |443.043             |lns
-501279622.452      |-501279622.452      |493.110             |lns
-521270408.734      |-521270408.734      |543.204             |lns
-528704277.726      |-528704277.726      |593.276             |lns
-534191987.217      |-534191987.217      |643.344             |lns
-536757439.895      |-536757439.895      |693.414             |lns
-539308956.502      |-539308956.502      |743.483             |lns
-541106077.120      |-541106077.120      |793.552             |lns
-551653747.248      |-551653747.248      |843.620             |lns
-554899022.081      |-554899022.081      |893.689             |lns
-554899022.242      |-554899022.242      |943.763             |lns
-588882723.633      |-588882723.633      |994.611             |lns
-680875182.835      |-680875182.835      |998.983             |lns
total time : 1008.3333113193512
